"filename", "language", "JavaScript", "JavaScript JSX", "XML", "JSON", "PostCSS", "Dotenv", "Markdown", "HTML", "comment", "blank", "total"
"/Users/shikharsingh/Desktop/careercounselling copy/client/tailwind.config.js", "JavaScript", 10, 0, 0, 0, 0, 0, 0, 0, 1, 1, 12
"/Users/shikharsingh/Desktop/careercounselling copy/client/vite.config.js", "JavaScript", 11, 0, 0, 0, 0, 0, 0, 0, 1, 2, 14
"/Users/shikharsingh/Desktop/careercounselling copy/server/.env", "Dotenv", 0, 0, 0, 0, 0, 10, 0, 0, 0, 2, 12
"/Users/shikharsingh/Desktop/careercounselling copy/server/config/domainOntology.js", "JavaScript", 32, 0, 0, 0, 0, 0, 0, 0, 1, 3, 36
"/Users/shikharsingh/Desktop/careercounselling copy/server/config/mlWeights.json", "JSON", 0, 0, 0, 9, 0, 0, 0, 0, 0, 1, 10
"/Users/shikharsingh/Desktop/careercounselling copy/server/controllers/resume.controller.js", "JavaScript", 41, 0, 0, 0, 0, 0, 0, 0, 0, 11, 52
"/Users/shikharsingh/Desktop/careercounselling copy/server/data/psychometricQuestions.json", "JSON", 0, 0, 0, 560, 0, 0, 0, 0, 0, 1, 561
"/Users/shikharsingh/Desktop/careercounselling copy/server/generateCollegeEmbeddings.js", "JavaScript", 67, 0, 0, 0, 0, 0, 0, 0, 2, 13, 82
"/Users/shikharsingh/Desktop/careercounselling copy/server/index.js", "JavaScript", 53, 0, 0, 0, 0, 0, 0, 0, 84, 35, 172
"/Users/shikharsingh/Desktop/careercounselling copy/server/lib/mongodb.js", "JavaScript", 10, 0, 0, 0, 0, 0, 0, 0, 0, 2, 12
"/Users/shikharsingh/Desktop/careercounselling copy/server/models/Appointment.js", "JavaScript", 41, 0, 0, 0, 0, 0, 0, 0, 0, 3, 44
"/Users/shikharsingh/Desktop/careercounselling copy/server/models/Message.js", "JavaScript", 13, 0, 0, 0, 0, 0, 0, 0, 0, 3, 16
"/Users/shikharsingh/Desktop/careercounselling copy/server/models/PsychometricTest.js", "JavaScript", 91, 0, 0, 0, 0, 0, 0, 0, 3, 7, 101
"/Users/shikharsingh/Desktop/careercounselling copy/server/models/RecommendationEvent.js", "JavaScript", 33, 0, 0, 0, 0, 0, 0, 0, 8, 5, 46
"/Users/shikharsingh/Desktop/careercounselling copy/server/models/StudentProfile.js", "JavaScript", 27, 0, 0, 0, 0, 0, 0, 0, 0, 3, 30
"/Users/shikharsingh/Desktop/careercounselling copy/server/models/college.js", "JavaScript", 75, 0, 0, 0, 0, 0, 0, 0, 1, 6, 82
"/Users/shikharsingh/Desktop/careercounselling copy/server/models/counsellor-profile.js", "JavaScript", 28, 0, 0, 0, 0, 0, 0, 0, 0, 3, 31
"/Users/shikharsingh/Desktop/careercounselling copy/server/models/user.js", "JavaScript", 11, 0, 0, 0, 0, 0, 0, 0, 0, 5, 16
"/Users/shikharsingh/Desktop/careercounselling copy/server/package-lock.json", "JSON", 0, 0, 0, 3650, 0, 0, 0, 0, 0, 1, 3651
"/Users/shikharsingh/Desktop/careercounselling copy/server/package.json", "JSON", 0, 0, 0, 38, 0, 0, 0, 0, 0, 1, 39
"/Users/shikharsingh/Desktop/careercounselling copy/server/prompts/resume.prompts.js", "JavaScript", 52, 0, 0, 0, 0, 0, 0, 0, 0, 3, 55
"/Users/shikharsingh/Desktop/careercounselling copy/server/routes/appointments.js", "JavaScript", 121, 0, 0, 0, 0, 0, 0, 0, 5, 18, 144
"/Users/shikharsingh/Desktop/careercounselling copy/server/routes/assistant-intent-smart.js", "JavaScript", 164, 0, 0, 0, 0, 0, 0, 0, 5, 20, 189
